collection,code,genus,species,date,SiteTemp,Tree host,gall host,Notes,phenophase,lifestage,viability
729,729-999,Quercus,macrocarpa,5/3/2017,"City Park , Iowa City IA (41.676, -91.539)",Bur Oak,Unknown catkin gall,"Fuzzy at end of catkin, small hardly noticiable, doesn’t look like normal phenotype",dormant,,viable
731,38,Quercus,imbricaria,5/5/2017,Pentacrest,Shingle Oak,Dryocosmus quercuspalustris,most found on catkin,dormant,,viable
734,88,Quercus,bicolor,5/5/2017,Pentacrest,Swamp White Oak,unknown catkin gall,lots of little larvae emerging after collection,dormant,Larva,viable
735,86,Quercus,rubra,5/6/2017,Macbride,Red Oak,Amphilbolips quercusinanis,"vary in size, some maybe too young",developing,,viable
736,47,Quercus,velutina,5/6/2017,Macbride,Black oak,Dryocosmus cinereae,"For sure D.cinerceae, very then sometimes with slight red, free rolling cell inside, underneath leaf",dormant,,viable
737,38,Quercus,velutina,5/6/2017,Macbride,Black oak,Dryocosmus quercuspalustris,Maybe a mix of different 'red' oaks,dormant,,viable
741,30,Quercus,bicolor,5/9/2017,Morman Handcart trail,Swamp White Oak,Andricus chinquapin,,dormant,,viable
742,88,Quercus,bicolor,5/9/2017,Morman Handcart trail,Swamp White Oak,catkin gall,,dormant,,viable
743,86,Quercus,velutina,5/9/2017,Morman Handcart trail,Black Oak,Amphilbolips quercusinanis,,dormant,,viable
744,47,Quercus,velutina,5/9/2017,Morman Handcart trail,Black Oak,Dryocosmus cinereae,,dormant,,viable
746,38,Quercus,rubra,5/9/2017,Morman Handcart trail,Red Oak,Dryocosmus quercuspalustris,,dormant,,viable
749,47,Quercus,velutina,5/13/2017,Market St. ,Black Oak,Dryocosmus cinereae,,dormant,,viable
754,30,Quercus,bicolor,5/16/2017,Waterworks prairie park,Swamp White Oak,Andricus chinquapin,,dormant,,viable
760,42,Quercus,bicolor,5/16/2017,Finkbine,Swamp White Oak,Andricus quercuspetiolicola,,dormant,,viable
761,30,Quercus,bicolor,5/16/2017,Hawkeye Rec field,Swamp White Oak,Andricus chinquapin,,dormant,,viable
762,42,Quercus,bicolor,5/16/2017,Hawkeye Rec field,Swamp White Oak,Andricus quercuspetiolicola,,dormant,,viable
765,30,Quercus,bicolor,5/18/2017,Waterworks prairie park,Swamp White Oak,Andricus chinquapin,starting to turn brown,dormant,,viable
768,45,Quercus,palustris,5/18/2017,"City Park , Iowa City IA (41.676, -91.539)",Pin Oak,Amphibolips quercusostensackenii,,dormant,,viable
773,13,Quercus,macrocarpa,5/18/2017,"City Park , Iowa City IA (41.676, -91.539)",Bur Oak,callirhytis flavipes,some very large swellings,dormant,,viable
775,10,Quercus,alba,5/18/2017,"City Park , Iowa City IA (41.676, -91.539)",White Oak,Andricus quercuspetiolicola,,dormant,,viable
776,44,Quercus,alba,5/18/2017,"City Park , Iowa City IA (41.676, -91.539)",White Oak,Neuroterus quercusirregularis,most have exit holes already,perimature,,viable
778,40,Quercus,alba,5/18/2017,"City Park , Iowa City IA (41.676, -91.539)",White Oak,Andricus quercusutriculus,,dormant,,viable
780,42,Quercus,bicolor,5/18/2017,Law school parking lot,Swamp White Oak,Andricus quercuspetiolicola,left half on tree to collect later,dormant,,viable
